B1,3V3
B2,VBAT
B3,RST
B4,PA0
B5,PA1
B6,PA4
B7,PA5
B8,PC2
B9,AREF
B10,AGND
B11,PC3
B12,PA6
B13,PA7
B14,PA2
B15,PA3
B16,GND
B17,PC6
B18,PC7
B19,PC8
B20,PC9
H1,VIN
H2,GND
H3,PA9
H3_PA9,PA9
H3_PB9,PB9
H3_PB3,PB3
H4,PA10
H4_PA10,PA10
H4_PB8,PB8
H4_PB4,PB4
H4_PA8,PA8
H5,PB6
H6,PB7
H6_PB7,PB7
H6_PB5,PB5
H7,PA15
H8,PC10
H9,PC12
H10,PC11
H11,PC0
H12,PC1
H13,PB12
H14,PB13
H15,PB15
H16,PB14
H16_PB14,PB14
H16_PB5,PB5
H17,PD2
H18,PB2
H19,PC4
H20,PC5
SW,PC13
LED_RED,PA13
LED_GREEN,PA14
USB_DM,PA11
USB_DP,PA12
